a,b,n,exact,temp_rmse,prec_rmse,temp_corr,prec_corr
AOI-0021,AOI-0030,3195,0.0,0.5003506904457465,1.910606327659793,0.9972832521166792,0.8146931901271874
AOI-0021,AOI-0033,3195,0.0,1.2038855478563197,3.103223424757402,0.9864663473592392,0.4568587341924756
AOI-0021,AOI-0037,3195,0.0,1.4341200412739583,3.1711954385223144,0.982133261666427,0.41885597215119236
AOI-0021,AOI-0038,3195,0.0,1.5101188780691115,3.1492662592225984,0.9804562558450761,0.41648162624752566
AOI-0021,AOI-0040,3195,0.0,1.4341200412739583,3.1711954385223144,0.982133261666427,0.41885597215119236
AOI-0021,AOI-0043,3195,0.0,0.8099995135658251,2.1659734499814998,0.9941257370168777,0.7566006241204569
AOI-0021,AOI-0045,3195,0.0,0.8405024812689801,2.217605904418525,0.9936652855959052,0.7415183563333236
AOI-0021,AOI-0048,3195,0.0,0.6937333484916187,2.096467905262461,0.9956050528875499,0.7762277907161769
AOI-0021,AOI-0052,3195,0.0,0.8408593414875503,2.48759057842402,0.9929957874513596,0.6957956971720838
AOI-0021,AOI-0053,3195,0.0,0.7595474677742686,2.5261254172468126,0.9944834531730062,0.7016899406710831
AOI-0021,AOI-0060,3195,0.0,0.9222840020487995,2.592216621523513,0.9915127634622422,0.6755784717078568
AOI-0021,AOI-0063,3195,0.0,1.0428259503302832,3.1399247492879256,0.9885572746347964,0.6391094461658839
AOI-0021,AOI-0064,3195,0.0,0.9658549138290916,2.96862929095265,0.9902831926755947,0.6555712006082852
AOI-0021,AOI-0065,3195,0.0,1.0428259503302832,3.1399247492879256,0.9885572746347964,0.6391094461658839
AOI-0021,AOI-0069,3195,0.0,1.2852149354836107,3.03177881898187,0.985207476563886,0.5081564520676048
AOI-0021,AOI-0070,3195,0.0,1.3081991511219755,3.0853486117852533,0.9848073559238918,0.4954475612333122
AOI-0021,AOI-0075,3195,0.0,2.8899472920891474,3.8935395431398625,0.9580287482617326,0.35144851768044405
AOI-0022,AOI-0023,3195,0.0,0.16905017198616218,0.5385103382725834,0.9998369308922402,0.9867050061162586
AOI-0022,AOI-0026,3195,0.0,0.5403511564928019,2.0479836954464066,0.9968408460133442,0.7896705980138999
AOI-0022,AOI-0030,3195,0.0,0.5003506904457465,1.910606327659793,0.9972832521166792,0.8146931901271874
AOI-0022,AOI-0033,3195,0.0,1.2038855478563197,3.103223424757402,0.9864663473592392,0.4568587341924756
AOI-0022,AOI-0037,3195,0.0,1.4341200412739583,3.1711954385223144,0.982133261666427,0.41885597215119236
AOI-0022,AOI-0038,3195,0.0,1.5101188780691115,3.1492662592225984,0.9804562558450761,0.41648162624752566
AOI-0022,AOI-0040,3195,0.0,1.4341200412739583,3.1711954385223144,0.982133261666427,0.41885597215119236
AOI-0022,AOI-0043,3195,0.0,0.8099995135658251,2.1659734499814998,0.9941257370168777,0.7566006241204569
AOI-0022,AOI-0045,3195,0.0,0.8405024812689801,2.217605904418525,0.9936652855959052,0.7415183563333236
AOI-0022,AOI-0048,3195,0.0,0.6937333484916187,2.096467905262461,0.9956050528875499,0.7762277907161769
AOI-0022,AOI-0052,3195,0.0,0.8408593414875503,2.48759057842402,0.9929957874513596,0.6957956971720838
AOI-0022,AOI-0053,3195,0.0,0.7595474677742686,2.5261254172468126,0.9944834531730062,0.7016899406710831
AOI-0022,AOI-0060,3195,0.0,0.9222840020487995,2.592216621523513,0.9915127634622422,0.6755784717078568
AOI-0022,AOI-0063,3195,0.0,1.0428259503302832,3.1399247492879256,0.9885572746347964,0.6391094461658839
AOI-0022,AOI-0064,3195,0.0,0.9658549138290916,2.96862929095265,0.9902831926755947,0.6555712006082852
AOI-0022,AOI-0065,3195,0.0,1.0428259503302832,3.1399247492879256,0.9885572746347964,0.6391094461658839
AOI-0022,AOI-0069,3195,0.0,1.2852149354836107,3.03177881898187,0.985207476563886,0.5081564520676048
AOI-0022,AOI-0070,3195,0.0,1.3081991511219755,3.0853486117852533,0.9848073559238918,0.4954475612333122
AOI-0022,AOI-0075,3195,0.0,2.8899472920891474,3.8935395431398625,0.9580287482617326,0.35144851768044405
AOI-0023,AOI-0026,3195,0.0,0.6409652007585706,2.3392666523406502,0.9957610479843776,0.736958070838461
AOI-0023,AOI-0030,3195,0.0,0.5997293922467521,2.216305252538927,0.9962322372274346,0.7615188254807916
AOI-0023,AOI-0033,3195,0.0,1.1765573283345918,3.128219447962686,0.9871627050281271,0.4779927616764471
AOI-0023,AOI-0037,3195,0.0,1.4231988797333548,3.2324185298621217,0.9823309560230099,0.43037192974632343
AOI-0023,AOI-0038,3195,0.0,1.5047718411068858,3.2165254560134287,0.9805980373751846,0.4267968183230131
AOI-0023,AOI-0040,3195,0.0,1.4231988797333548,3.2324185298621217,0.9823309560230099,0.43037192974632343
AOI-0023,AOI-0043,3195,0.0,0.82335925690477,2.26447749807705,0.9936882170038525,0.7470270349870023
AOI-0023,AOI-0045,3195,0.0,0.8519824344176807,2.304077296967088,0.9932775279430056,0.7352807460098719
AOI-0023,AOI-0048,3195,0.0,0.7127784585767637,2.1509892944277915,0.9953943610943032,0.7752130479670853
AOI-0023,AOI-0052,3195,0.0,0.8582802909422015,2.6762430491025815,0.9922600534398756,0.6613510016357038
AOI-0023,AOI-0053,3195,0.0,0.7765332768922678,2.7210003018238376,0.9937289257023736,0.6650924384700483
